#instrument shortname|sensor type|sensor mode|acquisition type|typecode|QR|level
SIRAL|ALTIMETRIC|LRM|NOMINAL|SIR1LRM_0_|QR|other:L0
SIRAL|ALTIMETRIC|LRM|NOMINAL|SIR2LRM_0_|QR|other:L0
SIRAL|ALTIMETRIC|LRM|CALIBRATION|SIR1LRC10_|QR|other:L0
SIRAL|ALTIMETRIC|LRM|CALIBRATION|SIR2LRC10_|QR|other:L0
SIRAL|ALTIMETRIC|SAR|NOMINAL|SIR1SAR_0_|QR|other:L0
SIRAL|ALTIMETRIC|SAR|NOMINAL|SIR2SAR_0_|QR|other:L0
SIRAL|ALTIMETRIC|SAR|NOMINAL|SIR1TKSA0_|QR|other:L0
SIRAL|ALTIMETRIC|SAR|NOMINAL|SIR2TKSA0_|QR|other:L0
SIRAL|ALTIMETRIC|SAR|CALIBRATION|SIR1SAC10_|QR|other:L0
SIRAL|ALTIMETRIC|SAR|CALIBRATION|SIR2SAC10_|QR|other:L0
SIRAL|ALTIMETRIC|SAR|CALIBRATION|SIR1SAC20_|QR|other:L0
SIRAL|ALTIMETRIC|SAR|CALIBRATION|SIR2SAC20_|QR|other:L0
SIRAL|ALTIMETRIC|SARIN|NOMINAL|SIR1SIN_0_|QR|other:L0
SIRAL|ALTIMETRIC|SARIN|NOMINAL|SIR2SIN_0_|QR|other:L0
SIRAL|ALTIMETRIC|SARIN|NOMINAL|SIR1TKSI0_|QR|other:L0
SIRAL|ALTIMETRIC|SARIN|NOMINAL|SIR2TKSI0_|QR|other:L0
SIRAL|ALTIMETRIC|SARIN|CALIBRATION|SIR1SIC10_|QR|other:L0 
SIRAL|ALTIMETRIC|SARIN|CALIBRATION|SIR2SIC10_|QR|other:L0
SIRAL|ALTIMETRIC|SARIN|CALIBRATION|SIR1SIC20_|QR|other:L0
SIRAL|ALTIMETRIC|SARIN|CALIBRATION|SIR2SIC20_|QR|other:L0
SIRAL|ALTIMETRIC|LRM|NOMINAL|SIR_LRM_1B|QR|1B
SIRAL|ALTIMETRIC|LRM|CALIBRATION|SIR1LRC11B|QR|1B
SIRAL|ALTIMETRIC|LRM|CALIBRATION|SIR2LRC11B|QR|1B
SIRAL|ALTIMETRIC|GOP|NOMINAL|SIR_GOP_1B|NO-QR|1B
SIRAL|ALTIMETRIC|SAR|NOMINAL|SIR_SAR_1B|QR|1B
SIRAL|ALTIMETRIC|SAR|CALIBRATION|SIR1SAC11B|QR|1B
SIRAL|ALTIMETRIC|SAR|CALIBRATION|SIR2SAC11B|QR|1B
SIRAL|ALTIMETRIC|SAR|CALIBRATION|SIR1SAC21B|QR|1B
SIRAL|ALTIMETRIC|SAR|CALIBRATION|SIR2SAC21B|QR|1B
SIRAL|ALTIMETRIC|SARIN|NOMINAL|SIR_SIN_1B|QR|1B
SIRAL|ALTIMETRIC|SARIN|CALIBRATION|SIR_SIC11B|QR|1B
SIRAL|ALTIMETRIC|SARIN|CALIBRATION|SIR_SICC1B|QR|1B
SIRAL|ALTIMETRIC|SARIN|CALIBRATION|SIR1SIC21B|QR|1B
SIRAL|ALTIMETRIC|SARIN|CALIBRATION|SIR2SIC21B|QR|1B
SIRAL|ALTIMETRIC|LRM|NOMINAL|SIR_LRMI2_|NO-QR|2
SIRAL|ALTIMETRIC|LRM|NOMINAL|SIR_LRM_2_|QR|2
SIRAL|ALTIMETRIC|GOP|NOMINAL|SIR_GOP_2_|NO-QR|2
SIRAL|ALTIMETRIC|SAR|NOMINAL|SIR_SAR_2A|QR|2
SIRAL|ALTIMETRIC|SAR|NOMINAL|SIR_SARI2_|NO-QR|2
SIRAL|ALTIMETRIC|SAR|NOMINAL|SIR_SAR_2_|NO-QR|2
SIRAL|ALTIMETRIC|SARIN|NOMINAL|SIR_SINI2_|QR|2
SIRAL|ALTIMETRIC|SARIN|NOMINAL|SIR_SIN_2_|QR|2
SIRAL|ALTIMETRIC|SYNERGY|NOMINAL|SIR_GDR_2_|NO-QR|2
